Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C8",0603,3,4.7uF,
"C10, C11, C13, C14, C7",0603,5,0.1uF,
"C16, C9",0603,2,10nF,
"C17, C5, C6",0603,3,1uF,
C18,0402,1,10pF,
C2,0805,1,10uF,
"C3, C4",0805,2,22uF,
"D1, D2",D_SOD-323,2,1N4148WS,C6423741
"D3, D4, D5",0805,3,LED,
J1,BATTERY_P2+P1.27mm_Horizontal,1,Batt_conn_3p,
J2,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J3,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03_Pin,
J6,Connector_JST_1x03_P1.27mm,1,Conn_01x03_Pin,
L1,1008,1,1.0uh,C5179444
"Q1, Q3",SOT-523,2,DTC143Z,C2828442
Q2,SOT-23,1,AO3400,C4748722
Q4,SOT-523,1,DMG1012T,C20512
"R1, R8",0603,2,100k,
"R10, R11, R7",0603,3,5.1k,
"R13, R17, R18, R19, R22",0603,5,10k,
"R16, R5",0603,2,3.3k,
R2,0402,1,100k,
"R20, R21, R23",0603,3,220,
R3,0603,1,1.8k,
R4,0603,1,33k,
R6,0402,1,750k,
SW2,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,SW_Push,C398057
SW3,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,C431548
U1,RGT16_1P7X1P7,1,BQ24073RGTR,C15220
"U2, U3, U4",X1SON-2_L1.0-W0.6-P0.65-BI,3,TPD1E10B06DPYR,C48260
U5,RWU0007A,1,TPS61022RWUR,C915088
U6,QFN-28_4x4mm_P0.5mm,1,STM32G031G8Ux,C432211
U7,SOT-23-5,1,AP2112K-1.8,C176944
